Region	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WML_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion
SubRegion	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	WM_line_Lesion_IronPos	WM_line_Lesion_IronPos	WM_line_Lesion_IronPos	WM_line_Lesion_IronPos	WM_line_Lesion_IronPos	WM_line_Lesion_IronPos	WM_line_Lesion_IronPos	WM_line_Lesion_IronPos	WM_line_Lesion_IronPos	WM_line_Lesion_IronPos	WM_line_Lesion_IronPos	WM_line_Lesion_IronPos	WM_line_Lesion_IronPos	WM_line_Lesion_IronPos	WML_Lesion_IronPos	WM_line_Lesion_IronPos	WM_line_Lesion_IronPos	WM_line_Lesion_IronPos	WM_line_Lesion_IronPos	WM_line_Lesion_IronNeg	WM_line_Lesion_IronNeg	WM_line_Lesion_IronNeg	WM_line_Lesion_IronNeg	WM_line_Lesion_IronNeg	WM_line_Lesion_IronNeg	WM_line_Lesion_IronNeg	WM_line_Lesion_IronNeg	WM_line_Lesion_IronNeg	WM_line_Lesion_IronNeg	WM_line_Lesion_IronNeg	WM_line_Lesion_IronNeg	WM_line_Lesion_IronNeg	WM_line_Lesion_IronNeg	WM_line_Lesion_IronNeg	WM_line_Lesion_IronNeg	WM_line_Lesion_IronNeg	WM_line_Lesion_IronNeg	WML_Lesion_IronPos	WML_Lesion_IronPos	WML_Lesion_IronPos	WML_Lesion_IronPos	WML_Lesion_IronPos	WML_Lesion_IronPos	WML_Lesion_IronPos	WML_Lesion_IronPos	WML_Lesion_IronPos	WML_Lesion_IronPos	WML_Lesion_IronPos	WML_Lesion_IronPos	WML_Lesion_IronPos	WML_Lesion_IronPos	WML_Lesion_IronPos	WML_Lesion_IronPos	WML_Lesion_IronNeg	WML_Lesion_IronNeg	WML_Lesion_IronNeg	WML_Lesion_IronNeg	WML_Lesion_IronNeg	WML_Lesion_IronNeg	WML_Lesion_IronNeg	WML_Lesion_IronNeg	WML_Lesion_IronNeg	WML_Lesion_IronNeg	WML_Lesion_IronNeg	WML_Lesion_IronNeg	WML_Lesion_IronNeg	WML_Lesion_IronNeg	WML_Lesion_IronNeg	WML_Lesion_IronNeg	WML_Lesion_IronNeg
Slide	Run1	Run1	Run1	Run1	Run1	Run3	Run3	Run3	Run3	Run3	Run2	Run2	Run2	Run2	Run2	Run4	Run4	Run4	Run4	Run4	Run4	Run1	Run1	Run1	Run1	Run1	Run1	Run3	Run3	Run3	Run3	Run2	Run2	Run2	Run2	Run2	Run4	Run4	Run4	Run4	Run1	Run1	Run1	Run1	Run3	Run3	Run3	Run3	Run3	Run3	Run3	Run4	Run4	Run4	Run2	Run2	Run2	Run2	Run1	Run1	Run1	Run1	Run1	Run3	Run3	Run3	Run3	Run2	Run2	Run2	Run4	Run4	Run4	Run4	Run1	Run1	Run1	Run1	Run3	Run3	Run3	Run3	Run2	Run2	Run2	Run2	Run4	Run4	Run4	Run4	Run4
gene	DSP-1001660016814-C-A02.dcc	DSP-1001660016814-C-A03.dcc	DSP-1001660016814-C-A04.dcc	DSP-1001660016814-C-A05.dcc	DSP-1001660016814-C-A06.dcc	DSP-1001660016814-C-C02.dcc	DSP-1001660016814-C-C03.dcc	DSP-1001660016814-C-C04.dcc	DSP-1001660016814-C-C05.dcc	DSP-1001660016814-C-C06.dcc	DSP-1001660016814-C-E02.dcc	DSP-1001660016814-C-E03.dcc	DSP-1001660016814-C-E04.dcc	DSP-1001660016814-C-E05.dcc	DSP-1001660016814-C-E06.dcc	DSP-1001660016814-C-G02.dcc	DSP-1001660016814-C-G03.dcc	DSP-1001660016814-C-G04.dcc	DSP-1001660016814-C-G05.dcc	DSP-1001660016814-C-G06.dcc	DSP-1001660016814-C-H12.dcc	DSP-1001660016814-C-A07.dcc	DSP-1001660016814-C-A08.dcc	DSP-1001660016814-C-A09.dcc	DSP-1001660016814-C-A10.dcc	DSP-1001660016814-C-A11.dcc	DSP-1001660016814-C-A12.dcc	DSP-1001660016814-C-C07.dcc	DSP-1001660016814-C-C08.dcc	DSP-1001660016814-C-C09.dcc	DSP-1001660016814-C-C10.dcc	DSP-1001660016814-C-E07.dcc	DSP-1001660016814-C-E08.dcc	DSP-1001660016814-C-E09.dcc	DSP-1001660016814-C-E10.dcc	DSP-1001660016814-C-E11.dcc	DSP-1001660016814-C-G11.dcc	DSP-1001660016814-C-G12.dcc	DSP-1001660016814-C-H01.dcc	DSP-1001660016814-C-H02.dcc	DSP-1001660016814-C-B10.dcc	DSP-1001660016814-C-B11.dcc	DSP-1001660016814-C-B12.dcc	DSP-1001660016814-C-C01.dcc	DSP-1001660016814-C-D07.dcc	DSP-1001660016814-C-D08.dcc	DSP-1001660016814-C-D09.dcc	DSP-1001660016814-C-D10.dcc	DSP-1001660016814-C-D11.dcc	DSP-1001660016814-C-D12.dcc	DSP-1001660016814-C-E01.dcc	DSP-1001660016814-C-H08.dcc	DSP-1001660016814-C-H09.dcc	DSP-1001660016814-C-H10.dcc	DSP-1001660016814-C-F07.dcc	DSP-1001660016814-C-F08.dcc	DSP-1001660016814-C-F09.dcc	DSP-1001660016814-C-F10.dcc	DSP-1001660016814-C-B01.dcc	DSP-1001660016814-C-B02.dcc	DSP-1001660016814-C-B03.dcc	DSP-1001660016814-C-B04.dcc	DSP-1001660016814-C-B05.dcc	DSP-1001660016814-C-C11.dcc	DSP-1001660016814-C-C12.dcc	DSP-1001660016814-C-D01.dcc	DSP-1001660016814-C-D02.dcc	DSP-1001660016814-C-E12.dcc	DSP-1001660016814-C-F01.dcc	DSP-1001660016814-C-F02.dcc	DSP-1001660016814-C-G07.dcc	DSP-1001660016814-C-G08.dcc	DSP-1001660016814-C-G09.dcc	DSP-1001660016814-C-G10.dcc	DSP-1001660016814-C-B06.dcc	DSP-1001660016814-C-B07.dcc	DSP-1001660016814-C-B08.dcc	DSP-1001660016814-C-B09.dcc	DSP-1001660016814-C-D03.dcc	DSP-1001660016814-C-D04.dcc	DSP-1001660016814-C-D05.dcc	DSP-1001660016814-C-D06.dcc	DSP-1001660016814-C-F03.dcc	DSP-1001660016814-C-F04.dcc	DSP-1001660016814-C-F05.dcc	DSP-1001660016814-C-F06.dcc	DSP-1001660016814-C-H03.dcc	DSP-1001660016814-C-H04.dcc	DSP-1001660016814-C-H05.dcc	DSP-1001660016814-C-H06.dcc	DSP-1001660016814-C-H07.dcc
A2M	6	2	3	2	3	3	4	5	12	9	7	3	4	2	0	3	3	2	5	4	4	1	3	2	5	8	0	9	11	7	10	4	7	5	0	1	10	7	11	10	13	14	6	7	38	23	37	32	28	20	16	26	29	42	15	18	12	22	0	2	2	0	1	4	4	2	8	6	5	7	8	3	6	9	2	3	4	5	12	10	11	14	3	6	4	6	7	9	13	9	12
ACADS	1	2	6	0	2	1	6	3	1	2	0	5	2	1	2	0	2	3	0	1	2	1	0	2	1	3	0	1	9	6	9	1	1	4	0	4	5	4	3	7	5	3	3	3	7	13	2	11	11	5	12	19	16	19	6	5	5	5	3	0	3	3	2	2	4	3	4	5	1	1	8	4	4	4	3	2	0	5	11	11	4	10	4	3	5	2	10	11	10	4	3
ADA	3	1	2	1	1	2	2	2	6	2	0	4	2	0	2	1	5	1	3	5	4	0	1	1	3	2	1	4	7	8	8	1	3	1	1	4	3	5	4	5	11	7	2	2	10	13	25	18	10	8	9	21	22	18	12	8	5	7	1	1	1	2	3	1	6	3	1	0	3	6	8	10	5	5	7	5	3	4	16	14	12	8	2	2	3	4	13	11	10	8	15
SGCA	1	0	2	0	1	2	1	2	1	1	0	1	1	0	0	3	2	3	1	0	0	1	2	1	2	4	0	1	6	2	6	1	1	4	3	5	3	2	1	4	5	5	2	3	13	6	11	17	12	6	8	13	13	7	2	2	6	3	0	1	5	0	3	0	3	2	5	0	4	4	5	4	5	3	5	4	4	5	5	20	0	10	5	3	2	3	4	4	6	4	4
APOC3	0	0	2	1	6	0	6	1	1	3	0	1	2	1	1	3	6	2	0	2	1	1	2	2	5	6	0	1	2	3	4	1	0	0	1	3	1	2	4	9	3	7	4	3	12	9	16	15	12	8	12	16	12	21	3	4	5	7	4	1	1	2	0	1	3	4	1	4	1	2	7	7	5	7	5	4	8	3	9	20	9	12	2	3	5	3	10	5	5	12	6
APOE	2	6	5	7	6	13	18	12	11	29	14	4	9	5	8	6	13	12	7	9	11	5	9	2	3	21	5	20	31	22	33	16	20	22	6	4	29	16	24	15	65	29	18	30	203	164	254	208	160	46	110	109	107	159	140	46	97	63	3	4	2	5	2	5	6	5	2	4	2	4	9	6	15	13	15	6	15	7	14	22	15	22	2	8	14	12	17	17	22	16	20
C3	6	3	2	5	6	3	6	3	8	9	7	3	6	4	6	5	7	3	6	5	5	4	2	4	1	7	1	6	8	16	13	5	6	7	1	3	6	7	3	9	16	15	9	13	43	43	63	54	41	18	30	50	27	39	32	22	17	20	5	2	1	1	3	3	4	4	0	5	4	5	6	7	4	6	5	4	7	1	8	9	13	7	0	3	3	5	12	10	7	4	4
