"Gene","logFC","logCPM","F","PValue","FDR"
"MBP",-3.86827699807525,14.2584793108214,566.708572622259,1.46350922675742e-43,3.32216594473935e-41
"PLP1",-3.83942496237075,11.8669100879124,391.432536818944,8.71450345082001e-37,9.89096141668072e-35
"DHRS1",2.18254405174798,14.2290211898494,276.409904936227,7.23213839412053e-31,5.4723180515512e-29
"NRGN",3.07420946939403,11.9276313839629,235.058971959755,2.7640527550936e-28,1.56859993851562e-26
"CRYAB",-2.85686338316012,13.694012569576,217.240475246293,4.50782527425206e-27,2.04655267451044e-25
"CKB",2.84829040353124,12.1932795719367,212.574490991371,9.60937899100905e-27,3.63554838493176e-25
"SPARCL1",2.19857885305493,11.9679231672601,192.178849973359,3.0173066038653e-25,9.78469427253462e-24
"BASP1",2.50837060574945,11.994635329382,181.758048812191,1.9286441730389e-24,5.47252784099788e-23
"CLU",2.5499497659252,13.8249308093533,145.991486621712,1.97945286480842e-21,4.62244159027842e-20
"ALDOA",1.93608273539287,12.2687097057229,145.855120890907,2.03631788117992e-21,4.62244159027842e-20
"TMEM30A",1.83233441182951,13.149003076164,115.393681194703,1.75136128987056e-18,3.61417284364197e-17
"CALM1",1.71400377987411,12.0117647801454,110.924049039032,5.11304336333452e-18,9.67217369564113e-17
"SNAP25",2.35083694660123,11.5229056266288,109.641446430374,6.9828392116775e-18,1.21931115465446e-16
"PPP3R1",1.96300960940291,11.6605392797036,103.106772822562,3.52220621878146e-17,5.71100579759566e-16
"IDS",1.92445194800428,11.6472800563786,97.407669329176,1.50852731923923e-16,2.25661234146716e-15
"PCSK1N",2.20253749833519,11.6437581584056,97.2032620263697,1.59056376491078e-16,2.25661234146716e-15
"TPI1",1.85558534816021,11.6093419184992,96.2344098781468,2.04589983490906e-16,2.73187801484916e-15
"MZT2B",1.51654962568232,12.7860112420359,95.8009858785037,2.29071798517543e-16,2.88884990352679e-15
"ITM2C",1.98739632345583,12.0933420599778,93.2701186654667,4.45459278619362e-16,5.32206611824185e-15
"UCHL1",2.13133716069092,11.5081213401706,92.3351274542703,5.70794162302511e-16,6.4785137421335e-15
"HSPA6",-1.56173666217162,12.0532478452143,88.6981415782852,1.5149095406016e-15,1.63754507484078e-14
"TLE5",1.50560376322452,12.0436910948157,85.0480126288414,4.11337416824537e-15,4.24425425541681e-14
"DBNDD2",-1.62494982282059,11.3751475212604,84.4249695180426,4.88774440454866e-15,4.82399121666324e-14
"FTH1",-1.12358070805041,14.3826062393635,80.5315600339013,1.45579125585361e-14,1.37693589616154e-13
"CNP",-1.58975168132894,11.6251036690054,78.9191267689473,2.3037515685706e-14,2.09180642426211e-13
"ADAM15",1.1926609437797,13.6766329642888,75.7449973516043,5.75717338608336e-14,5.02645522554201e-13
"RPL37A",-1.18427430349745,12.3151636213266,75.3859339853997,6.39240068674593e-14,5.37435168848639e-13
"HSPA1A",-1.19150695367347,14.6522749663992,70.9492935333284,2.37265873126152e-13,1.92354832855845e-12
"HSP90AA1",-1.11206081859323,13.1721696747374,70.238601398779,2.93674898632387e-13,2.29876558584662e-12
"APOC1",-1.89125984909733,12.624952468532,66.2159004624214,9.99354264627067e-13,7.56178060234481e-12
"RPS28",-1.09711580102855,12.7529867050794,65.4644111373276,1.26045924538706e-12,9.2298144742859e-12
"TUBB4A",-1.50776471920374,11.6534505492757,62.9110806799186,2.79623641336411e-12,1.98358020573017e-11
"PTBP1",1.09402402231485,14.7464946855473,58.5168860207838,1.13580222865929e-11,7.81294260320181e-11
"RPL32",-1.80758223697639,12.3623569543867,48.4484130003351,3.29759497964982e-10,2.20162958935444e-09
"PIP4K2A",-1.4552215552985,11.3032560397359,47.0310994705945,5.39935362625212e-10,3.50186649474066e-09
"RPL30",-1.02402356768212,11.9103633751733,46.3617674569335,6.82686524424081e-10,4.30471780678518e-09
"NPIPA1",1.12118765788976,12.0150050467934,44.7647358662568,1.20028889628672e-09,7.36393457992124e-09
"PTMA",-0.927217503228381,12.2787730149605,42.9056558327175,2.33428298870042e-09,1.39442694324999e-08
"GNAS",0.997173603934352,11.7568946420973,42.6754425384709,2.53628975238076e-09,1.47625070202675e-08
"RPS8",-0.862249198138053,12.1301684804988,41.544792079321,3.82052035005474e-09,2.16814529865606e-08
"C1QC",-1.29662824054415,11.9790430399225,39.9899048373242,6.74948964601596e-09,3.73691256011127e-08
"SYP",1.08711664230315,12.0437724280928,39.3948717444396,8.40660631209445e-09,4.5435705543939e-08
"HNRNPA2B1",-0.790011689739479,12.247063449462,39.101203410107,9.37212796466223e-09,4.94761173948448e-08
"RPS11",-1.03297818667757,11.8493322524316,37.8954113565196,1.46834731749588e-08,7.57533729708104e-08
"RPL6",-0.792497573768108,12.1289382217087,38.8170442919678,1.50882234559443e-08,7.61117049888745e-08
"APLP1",-1.13282103386453,11.8812019188208,37.455192973268,1.73169018843196e-08,8.54551462552295e-08
"SPP1",-1.8197993134015,12.2358857846388,37.1300657259277,1.95676659846968e-08,9.45076633728972e-08
"FCF1",1.15570163111491,13.2356717265631,36.9222916732188,2.11603757399177e-08,9.98849316385935e-08
"DOK6",1.09138667240158,11.8635153831233,36.8725335304369,2.15610645387272e-08,9.98849316385935e-08
"PRNP",1.07560811412301,11.762307907428,36.2553900405511,2.72256642552039e-08,1.23604515718626e-07
"RPLP2",-0.896259478662476,11.9635686498379,36.1475678226837,2.83614661242683e-08,1.26236329611939e-07
"BCL2L2",0.923715815938454,12.6719819987768,34.2899505048137,5.76678057012431e-08,2.51742151811196e-07
"RPL38",-0.976878691293198,11.8948192978523,33.7586939726521,7.07819346070974e-08,3.03160361430398e-07
"GPNMB",-1.2569114640713,12.1177298382885,33.6143652358611,7.48453016394203e-08,3.14627471706452e-07
"HSPH1",-0.725229567277753,12.3428879258099,33.424673446862,8.05506850144453e-08,3.32454645423256e-07
"TMSB4X",-0.873787546293387,12.9515157439554,32.9284794324024,9.76694078512404e-08,3.95909921111278e-07
"RTN3",0.910578119810191,11.6821785324073,31.7462984719979,1.55069282735465e-07,6.17556617209658e-07
"HSPA1B",-0.8382969650498,13.0753385375798,30.0871309936248,2.98984718252052e-07,1.17016432833131e-06
"EIF4A2",0.880972618389883,12.4860575070461,30.0029540712553,3.09186871987055e-07,1.18958338883155e-06
"MFSD6L",0.983797735395003,11.9353455633674,29.9180035425599,3.1984354189034e-07,1.21007473348512e-06
"RPL19",-0.90250115939069,12.1027740369242,29.3153167079418,4.0705352121994e-07,1.51477293962175e-06
"RPL22",-0.827769870718939,11.6964401995443,28.5540253757478,5.52966255788137e-07,2.02457000103076e-06
"C1QB",-1.07159749443477,12.1024261880678,28.4245278614377,5.82663089754367e-07,2.09943684721018e-06
"APP",0.86132289368283,11.8069345875351,28.1284400322096,6.56839030825653e-07,2.32972593745974e-06
"CD74",-0.950519810957739,12.2673245783609,28.0743366214869,6.71402375246639e-07,2.34474367970749e-06
"MTURN",-0.804811055138444,11.7027021139275,27.9340859948119,7.10709972071135e-07,2.4444115706083e-06
"EFHD1",-1.07650155542884,11.3803723791946,27.2824492400725,9.26612462575345e-07,3.13941834335229e-06
"HSP90AB1",-0.632981931296809,12.6654536117967,27.2250374356408,9.48593086074588e-07,3.16662691969017e-06
"FKBP4",-0.865180092648636,12.0977417720029,27.091597619013,1.00176328153343e-06,3.2956560131607e-06
"QKI",-0.813306509921897,12.1120684323179,26.5899921798413,1.23041026216052e-06,3.99004470729198e-06
"RPL37",-0.903759977695331,11.763348781033,26.5540491152053,1.2487142790203e-06,3.99236818785363e-06
"RPS12",-0.893488639092722,11.674794992033,25.8978393008193,1.63648208452725e-06,5.15946434982897e-06
"RPL34",-0.750206982749468,12.2376202909111,25.7505014991646,1.73931121928124e-06,5.40854310653208e-06
"ACSL1",-0.958251441429522,11.5903092452756,25.5121342431064,1.91986060767427e-06,5.88930213435216e-06
"IGHG3",1.65516013532751,13.209755431235,25.4455643422352,1.97362687944158e-06,5.97351068844318e-06
"CST3",0.866194123961727,12.1384262569231,24.8918978342874,2.48493004344264e-06,7.4220936823879e-06
"GLUL",0.736414518801292,12.1482518589525,23.5682542800774,4.33095416495447e-06,1.27678778629177e-05
"IGHG2",1.61704935348564,13.1402124926344,23.2803850404395,4.89161395308897e-06,1.42358508634769e-05
"PEA15",0.88434958801339,11.8756000568417,23.0174559969781,5.46847748036134e-06,1.5637696800717e-05
"TMSB10",0.774495301531154,12.0435170839814,22.9991759084874,5.5110825729399e-06,1.5637696800717e-05
"RPL13",-0.686798322848166,12.3771085821137,22.8972046978264,5.75505109063574e-06,1.6128353056473e-05
"C3",-0.902100016562578,11.6261749375488,23.9518980958586,6.32348804498506e-06,1.75052656855074e-05
"RPS24",-0.716945238608055,12.1006460301554,22.3006560083983,7.42117640818426e-06,2.02964704175642e-05
"RPS27",-0.649700894626586,12.0522604848133,21.9256936631818,8.71375949067e-06,2.35478976712154e-05
