"Gene","logFC","logCPM","F","PValue","FDR"
"CALM1",-2.33299473203096,12.0117647801454,128.04395965759,9.48747601921743e-20,2.15365705636236e-17
"NRGN",-2.05194320930224,11.9276313839629,107.508018217529,1.17767458555337e-17,1.02288892367551e-15
"BASP1",-2.07365009422992,11.994635329382,106.721358445093,1.429936799254e-17,1.02288892367551e-15
"CKB",-2.06338713573355,12.1932795719367,105.786923116164,1.80244744260001e-17,1.02288892367551e-15
"SPARCL1",-1.49293959259497,11.9679231672601,82.7079769803446,7.88639818515047e-15,3.58042477605831e-13
"ALDOA",-1.48060447412731,12.2687097057229,73.5341298097628,1.1005190062212e-13,4.16363024020353e-12
"TLE5",-1.59601483279083,12.0436910948157,70.2869700353619,2.89434303763839e-13,9.38594099348449e-12
"SIRT6",1.57753831588255,11.8896415594897,62.8944801813793,2.81087664491576e-12,7.97586247994847e-11
"PPP3R1",-1.4020743552671,11.6605392797036,47.2943424875814,4.92499490514354e-10,1.24219315940843e-08
"OAZ1",-1.07259323185747,12.4303287772474,41.9076519663086,3.34856519690309e-09,7.60124299697002e-08
"IDS",-1.28444964792919,11.6472800563786,39.9436173655157,6.86550909195154e-09,1.41679142170273e-07
"HSPA1A",-0.922207749628862,14.6522749663992,34.5140753043211,5.29060216217902e-08,1.00080557567886e-06
"SLC1A3",-1.45241495757997,11.8391147457196,33.9652387249274,6.53550957878964e-08,1.06749331224835e-06
"UCHL1",-1.31274412900487,11.5081213401706,33.9462178278381,6.58365919448321e-08,1.06749331224835e-06
"SNAP25",-1.2263460611369,11.5229056266288,32.2817934332053,1.25701800842663e-07,1.88033333733226e-06
"APP",-1.09561901900681,11.8069345875351,32.033700328149,1.3852771754231e-07,1.88033333733226e-06
"FTH1",-0.789537111169953,14.3826062393635,31.8858167450513,1.46801203165996e-07,1.88033333733226e-06
"GNAS",-0.98848173601969,11.7568946420973,31.8462136888611,1.49101321902999e-07,1.88033333733226e-06
"GLUL",-1.00080505243809,12.1482518589525,31.0192403255448,2.06528734693661e-07,2.46747488291901e-06
