"Gene","logFC","logCPM","F","PValue","FDR"
"MBP",-3.97567857699699,14.2584793108214,497.017611386761,4.14984010943515e-41,9.4201370484178e-39
"PLP1",-3.34864054880192,11.8669100879124,199.272002732737,8.86142133226242e-26,1.00577132121178e-23
"FTH1",-1.91311781922036,14.3826062393635,195.203201326211,1.78310457517179e-25,1.34921579521332e-23
"HSPA1A",-2.11371470330233,14.6522749663992,186.220005768897,8.64396821403165e-25,4.90545196146296e-23
"CRYAB",-2.34512065057576,13.694012569576,137.37652004399,1.22280563752137e-20,5.551537594347e-19
"DHRS1",1.53754134119095,14.2290211898494,129.276864871207,7.20330546604577e-20,2.72525056798731e-18
"HSP90AA1",-1.62937693593698,13.1721696747374,113.952023774742,2.46825249442746e-18,8.00419023192905e-17
"ADAM15",1.39685143386496,13.6766329642888,96.4305032382001,1.94406937869216e-16,5.51629686203899e-15
"FCF1",1.85613477709769,13.2356717265631,91.4556029874745,7.21516618435385e-16,1.81982524872036e-14
"TMSB4X",-1.66049964661996,12.9515157439554,79.2472676621333,2.09759832864421e-14,4.76154820602235e-13
"TMEM30A",1.620285158547,13.149003076164,78.7017074498949,2.45161973676503e-14,5.05925163859693e-13
"MFSD6L",1.67855818374543,11.9353455633674,76.1933128514691,5.05345048629335e-14,9.5594438365716e-13
"HSP90AB1",-1.29064052004901,12.6654536117967,74.2876519890755,8.81630022903552e-14,1.53946165537774e-12
"SIRT6",1.96416618350743,11.8896415594897,73.2433017625912,1.19917684179702e-13,1.94437959348517e-12
"MZT2B",1.37885671410656,12.7860112420359,65.1117104647089,1.40605850758828e-12,2.12783520815026e-11
"RPL37A",-1.34672199039216,12.3151636213266,62.4619270986567,3.22121028043191e-12,4.45658322645761e-11
"DBNDD2",-1.85944549894836,11.3751475212604,62.3495105603743,3.33752928853654e-12,4.45658322645761e-11
"LYRM2",1.51925094792109,12.3151280905304,59.0536950851462,9.55030833272895e-12,1.20439999529415e-10
"TUBB4A",-1.92225768573456,11.6534505492757,56.6393974230084,2.09260638417773e-11,2.50011394320181e-10
"BCL2L2",1.27937904307798,12.6719819987768,56.1162156127407,2.48440571856091e-11,2.81980049056663e-10
"PRMT8",1.3595134319339,12.5738945996908,54.7417144458307,3.910859937414e-11,4.0515522512712e-10
"HSPA1B",-1.30093783852865,13.0753385375798,54.7295912328226,3.92661451665051e-11,4.0515522512712e-10
"DOK6",1.46534940128999,11.8635153831233,53.0040756444121,6.98200366177106e-11,6.89093404879143e-10
"APLP1",-1.81802525025761,11.8812019188208,51.0983338534598,1.32879089741381e-10,1.18567147990349e-09
"HSPA6",-1.48592004628759,12.0532478452143,51.0558796425974,1.3481058686992e-10,1.18567147990349e-09
"C4orf46",1.67441095416258,11.7479709867431,51.0342902186045,1.35803781839166e-10,1.18567147990349e-09
"HSPH1",-1.09965923642832,12.3428879258099,48.7529549811883,2.96798188866487e-10,2.49530329158121e-09
"QKI",-1.46956492843692,12.1120684323179,48.4138379592259,3.33730541593199e-10,2.70560117648772e-09
"HNRNPA2B1",-1.10155099297758,12.247063449462,47.3285295496947,4.86659049716542e-10,3.80936566502259e-09
"TUBA1C",-1.23525428881941,12.6964317972593,44.8966888186596,1.14533016865432e-09,8.66633160948437e-09
"DNAH3",1.31818387121533,11.7142819547077,43.2786174884975,2.0412061179793e-09,1.49468964123e-08
"CUL4B",1.22390400381185,11.9283474198032,42.1968092640909,3.01534192504236e-09,2.13900817807693e-08
"CLU",1.44374391222978,13.8249308093533,41.8700623037137,3.39456163530877e-09,2.33504694307603e-08
"RPS28",-0.986937164720839,12.7529867050794,40.5664094331837,5.46133533715463e-09,3.6462444751003e-08
"NFKB2",0.980836790577166,12.4431810315687,39.5887415401413,7.8254107956963e-09,5.0087147296806e-08
"HNRNPA1",1.13350064691745,12.1094120128673,39.5482423802902,7.94333613517628e-09,5.0087147296806e-08
"SPP1",-2.65035368390209,12.2358857846388,39.3891717250436,8.42434574845785e-09,5.168449959189e-08
"SYP",1.22528363828522,12.0437724280928,37.9191358820067,1.45537456543608e-08,8.69394806194711e-08
"PXN",1.1106467996095,12.1566113936045,37.7631303411153,1.54287454596479e-08,8.98032107523093e-08
"LAYN",1.11184056617154,11.8600554644961,36.4285967425711,2.54973998920808e-08,1.44697744387559e-07
"EPHA5",1.36705931609039,11.6545394988662,35.9889073961156,3.01214260906892e-08,1.66769846892352e-07
"CTSA",1.20107389657735,11.8409932428065,34.8316220097459,4.68371676660652e-08,2.53143739528495e-07
"CAMKMT",1.2003726909747,11.7134134681344,34.1719091455343,6.03494337883756e-08,3.18588871394448e-07
"CNP",-1.26584961871043,11.6251036690054,34.060309263045,6.30018137889875e-08,3.25032084775004e-07
"KIAA0825",1.19261734499491,11.7725057559096,32.7716613822778,1.03819391807374e-07,5.17457552159711e-07
"MTURN",-1.15035048709179,11.7027021139275,32.7460867645992,1.04859239644699e-07,5.17457552159711e-07
"PMFBP1",1.12449258307192,11.6500285744057,31.90583663757,1.45652280852362e-07,7.03469526669917e-07
"ATP5F1A",0.917240422630853,12.1631339982077,31.3423922434808,1.81790650384899e-07,8.56379904557519e-07
"EIF4A2",1.00934926008777,12.4860575070461,31.2999712520194,1.84857336226072e-07,8.56379904557519e-07
"SCYL3",0.8507719376881,12.2010590485659,31.1869221004888,1.93290451950263e-07,8.77538651854194e-07
"FOXD4L5",1.46820359956995,11.9249538441266,30.9350108149386,2.13524373217457e-07,9.50392798438486e-07
"PTMA",-0.955780557828503,12.2787730149605,30.8418695457841,2.21542465472099e-07,9.67118070426276e-07
"TPI1",1.32393073444888,11.6093419184992,30.5457385335248,2.4913837528799e-07,1.06706436208252e-06
"BARX2",1.15419134599106,11.9729264818595,29.1328959441118,4.37978570405637e-07,1.82264517597324e-06
"RPL32",-1.66398312689294,12.3623569543867,29.1123430612841,4.4161006466312e-07,1.82264517597324e-06
"SLC35D2",1.12433795100891,11.7604454783758,28.9597418660067,4.69553320739512e-07,1.90336792514052e-06
"C1QC",-1.41718890856421,11.9790430399225,28.6901628573843,5.23410372604244e-07,2.08445885230111e-06
"DNAJA1",-1.11369535678242,11.9552214026968,28.3945099904512,5.89776482950774e-07,2.30826313154872e-06
"DELE1",1.0788813238999,12.3220082761658,28.2324521482643,6.29741229791669e-07,2.42290269767303e-06
"RPS8",-0.872350103624716,12.1301684804988,28.1790409489543,6.43510513931218e-07,2.43461477770644e-06
"TSNAX",0.974513556830972,12.2534419312057,27.632811013776,8.03293263534529e-07,2.98930443971046e-06
"RPL37",-1.19801743135216,11.763348781033,27.1462794888783,9.79615984196311e-07,3.58665852278327e-06
"RNPEP",0.954211354365555,11.9838924392958,26.3166265974931,1.37681941343846e-06,4.96092074365922e-06
"KPNA3",0.896450722264782,12.3064896200165,23.8224521987064,3.8906119690636e-06,1.37995143277724e-05
"HMGN2",1.02773152768134,11.943292204763,23.6772605897278,4.13619939160923e-06,1.44448809522353e-05
"RPL19",-0.987775958410831,12.1027740369242,22.5363954106684,6.71059211203966e-06,2.3080369839894e-05
"ITM2B",-0.921249581614138,12.1554595439577,22.3490233819262,7.26935953868804e-06,2.46290241086893e-05
"DDX4",1.07647683410236,12.5809344057242,20.966007237821,1.31780036505394e-05,4.39912768922417e-05
"TANK",0.951184568234138,11.695852278037,20.6070445640067,1.5398684625421e-05,5.00419898771866e-05
"RPL30",-0.829514908938888,11.9103633751733,20.6021540205933,1.5431450622921e-05,5.00419898771866e-05
"RPS11",-0.924254402024861,11.8493322524316,19.9276373437629,2.07092338063957e-05,6.6211212310589e-05
"NPC2",0.83140996998666,12.2261470813349,19.4710190197735,2.53016582974827e-05,7.977050602123e-05
"RPLP2",-0.803349377458362,11.9635686498379,19.4182546036334,2.5895650931136e-05,8.05248323475051e-05
"CTSB",-1.1225086269699,12.3365129517842,19.3406886429182,2.67948709010701e-05,8.21950769532826e-05
"APOC1",-1.12119779372187,12.624952468532,18.5023115621521,3.88198028061862e-05,0.000117494603160057
"TRPM3",0.861444193389122,11.832330704574,18.2060470983802,4.42882456928069e-05,0.000132281997003515
"CST3",0.860059403552739,12.1384262569231,17.6704851801525,5.62619303022086e-05,0.0001624221258098
"ATP1B1",-0.798465262195179,12.3515908548789,17.6635206232017,5.64377980997277e-05,0.0001624221258098
