"Gene","logFC","logCPM","F","PValue","FDR"
"PLP1",-3.45802245830825,11.8669100879124,383.130122218832,2.25226830772091e-38,5.11264905852646e-36
"MBP",-2.68840314804487,14.2584793108214,359.118215749088,1.55483082445379e-35,1.76473298575505e-33
"CRYAB",-2.9463054623275,13.694012569576,263.960647688343,2.94478263774799e-30,2.22821886256265e-28
"TUBB4A",-2.29859550780943,11.6534505492757,133.368475283398,1.40861554557347e-20,7.99389322112946e-19
"DBNDD2",-1.6900600346685,11.3751475212604,103.282384595398,1.4920965718555e-17,6.77411843622395e-16
"APOE",1.46128509756066,12.8649441821214,95.8503085972322,2.05340360290004e-16,7.76871029763849e-15
"APLP1",-1.88650673253902,11.8812019188208,90.826140270874,6.20142782903424e-16,2.01103445312968e-14
"CNP",-1.62486640003465,11.6251036690054,89.1785462724582,1.0738304961121e-15,3.0469940327181e-14
"VIM",1.44350041134354,12.299783309387,79.6109026375849,1.75012007076131e-14,4.4141917340313e-13
"HSPA1A",-1.1629079435111,14.6522749663992,72.3878420440903,1.40718453545167e-13,3.1943088954753e-12
"TMEM30A",1.35004297032831,13.149003076164,66.5516901848217,8.59113511253911e-13,1.77289788231489e-11
"DHRS1",1.04292042943574,14.2290211898494,65.3027495684385,1.22959121393379e-12,2.32597671302476e-11
"HSP90AA1",-0.97968503530024,13.1721696747374,61.5285612235821,4.0982290223662e-12,6.90577542200593e-11
"ADAM15",1.03419336681792,13.6766329642888,61.3820123557557,4.2590685422063e-12,6.90577542200593e-11
"MTURN",-1.15581177257651,11.7027021139275,59.3604997254262,7.5030021318683e-12,1.13545432262274e-10
"QKI",-1.18766278876701,12.1120684323179,57.6312227283417,1.37551298653843e-11,1.9515090496514e-10
"FTH1",-0.900918795258205,14.3826062393635,56.3965863279792,2.12784284807568e-11,2.84129603831281e-10
"RPL32",-1.77564626327739,12.3623569543867,55.9107988846928,2.53306985319514e-11,3.18595278424933e-10
"EFHD1",-1.47875601352088,11.3803723791946,55.6079115959576,2.66665651545098e-11,3.18595278424933e-10
"STMN1",-1.40061591272788,11.6344793301118,54.0116019995209,4.32849227915657e-11,4.91283873684271e-10
"CLU",1.41369094895435,13.8249308093533,47.687319351735,4.14865343351488e-10,4.48449680670418e-09
"CST3",1.10047123883813,12.1384262569231,47.1234768803588,5.02093952564998e-10,5.18069669237521e-09
"PIP4K2A",-1.3124719725963,11.3032560397359,44.9302494524527,9.84306738504244e-10,9.71467954958537e-09
"CTSB",1.05992055962867,12.3365129517842,40.1438511613872,5.73486087181745e-09,5.42422257459401e-08
"CTSZ",1.13989463893362,11.9906256234758,39.4748164850091,6.89405122676198e-09,6.25979851389988e-08
"TUBA1C",-0.939562465130558,12.6964317972593,39.4346748176725,8.06834290585191e-09,7.0442839985707e-08
"BCL2L2",0.931400800481536,12.6719819987768,38.8002431387246,1.03005585903995e-08,8.66009925933588e-08
"PTMA",-0.862763910300078,12.2787730149605,38.2360919768596,1.26527281845253e-08,1.02577474924544e-07
"ITM2C",1.24715901981823,12.0933420599778,37.5829564890851,1.5195623926494e-08,1.18945056252212e-07
"APOC1",1.07528771376951,12.624952468532,35.347054929245,3.67694345688654e-08,2.64833649905114e-07
"HSP90AB1",-0.711070571579032,12.6654536117967,35.3767483850368,3.7154824678806e-08,2.64833649905114e-07
"SIRT6",1.14145018649124,11.8896415594897,35.2498820044686,3.77353362680027e-08,2.64833649905114e-07
"NDRG1",-1.07534839382735,11.6032787332203,35.2224650497819,3.90722208059843e-08,2.64833649905114e-07
"ATP1B1",-0.909630558201362,12.3515908548789,35.1881635604338,4.00162649235172e-08,2.64833649905114e-07
"HLA-B",0.895097163948644,12.1869948139847,35.1495779249335,4.08333821439602e-08,2.64833649905114e-07
"MZT2B",0.888721276824414,12.7860112420359,34.5427010517242,5.14775761032665e-08,3.24594715984486e-07
"CTSD",0.995879191341438,12.7317592179516,33.6904878939353,7.09515738386885e-08,4.35297493550873e-07
"GPNMB",0.939573455153153,12.1177298382885,31.6027727938955,1.52582765757248e-07,9.11481258602509e-07
"FCF1",0.99789889874771,13.2356717265631,30.3425995703619,2.65410362645493e-07,1.54482441847505e-06
"HLA-DRB1",0.922918882138761,11.8716263310275,30.1624936055724,2.79673229193598e-07,1.58714557567367e-06
"NDRG2",-0.852365832230934,11.7569818928078,28.9376216802116,4.61269959296627e-07,2.55386050634962e-06
"LYRM2",0.889321470058654,12.3151280905304,26.7375061329964,1.14317832387109e-06,6.17860665520801e-06
"FAM107A",-0.86697776126452,11.937634349546,26.6005832746611,1.21689445434508e-06,6.42407072410077e-06
"CD74",0.768930892296195,12.2673245783609,25.5294205867873,1.87695828070903e-06,9.68339840274886e-06
"HSPA1B",-0.727028224845548,13.0753385375798,25.4631258589414,1.93507898884217e-06,9.76139845482605e-06
"DOK6",0.831593688554791,11.8635153831233,24.4050247170621,2.96146164885555e-06,1.46141694410915e-05
"NUPR1",0.925164348903985,11.6470603022272,23.8841661245122,3.64605931212322e-06,1.76096907202547e-05
"HSPH1",-0.588539205549349,12.3428879258099,22.9488716142765,5.55932106840989e-06,2.62909558860218e-05
"DDX17",-0.665885323355744,12.0172704005231,22.5550069644844,6.58187939169755e-06,3.0491563712558e-05
"RPS11",-0.786921375304393,11.8493322524316,21.9722111894527,8.40248178311799e-06,3.81472672953557e-05
"RPL37A",-0.589235557476128,12.3151636213266,20.9121520616422,1.32985631478336e-05,5.91916438148671e-05
"CALM2",-0.778546305097102,11.7910891578226,20.7482622109134,1.41447205463693e-05,6.1747145462035e-05
"RPL7A",0.502585000655805,12.6673354191509,19.9440966338966,2.04507469796692e-05,8.75909351770739e-05
"HNRNPA2B1",-0.561245490468817,12.247063449462,19.8365374193148,2.13178721685216e-05,8.96140181898964e-05
"C1QB",0.722958427028905,12.1024261880678,18.0608771649986,4.62429904044471e-05,0.000190857433123809
"PITX1",-1.17889537422107,11.9100080562631,17.8543751229846,5.16329988490203e-05,0.00020929804890585
"CTSA",0.723178988555811,11.8409932428065,17.2453864127639,6.73666751479829e-05,0.000268284829098108
"ITM2B",-0.6112531202848,12.1554595439577,16.7954097413093,8.26826944006686e-05,0.000323602959119858
"TPI1",0.796772511800113,11.6093419184992,16.175151655367,0.000106390117540388,0.000409331469180816
"RPL22",-0.568073284666432,11.6964401995443,15.9883742357158,0.000118888486319333,0.000449794773241475
"NRGN",0.911153308066566,11.9276313839629,15.6837971839375,0.000129550007140786,0.000482095928212432
"RPL37",-0.634104369466771,11.763348781033,15.1641122633199,0.000172505151225297,0.000631591440776491
"RPL31",-0.552114374989688,11.8827683105676,15.1287915012172,0.000177085799065393,0.000638071053775307
"RPS2",0.601360279940703,12.0569331018765,14.8180376904844,0.000204260455736539,0.000724486303940537
"RPSA",0.577470994984811,12.1145773233364,14.6852307025026,0.000218593662609769,0.000763396329421807
"DNAJB2",-0.635464028980997,11.7991895965698,14.5905497207983,0.000226949253720172,0.000780567887795138
"MT3",-0.652751764198378,11.6266221864098,14.4432546411025,0.000242865310969328,0.000822842172985632
"RPL30",-0.528965729683342,11.9103633751733,14.4169963177703,0.000246589529049287,0.000823173869032179
"RPL6",-0.454985122597984,12.1289382217087,14.3293054466598,0.000257678362251657,0.000836207525151486
