"Gene","logFC","logCPM","F","PValue","FDR"
"PLP1",-2.22873176732111,11.8669100879124,148.722137425896,1.90187265038229e-22,4.31725091636781e-20
"CRYAB",-1.91759911084149,13.694012569576,113.842310673211,2.23280811603973e-18,2.53423721170509e-16
"FCF1",1.87222252635242,13.2356717265631,102.460908243762,3.73361596005076e-17,2.82510274310507e-15
"HSPA1A",-1.28193976973354,14.6522749663992,82.0537676740317,8.47883764865614e-15,4.81174036561236e-13
"LYRM2",1.44906813976819,12.3151280905304,65.0800786526701,1.34834843339854e-12,6.12150188762935e-11
"TUBB4A",-1.76090233597195,11.6534505492757,63.7337139509934,1.64146269148984e-12,6.21020051613656e-11
"MBP",-1.02697080402003,14.2584793108214,57.6084371477178,1.41873544168165e-11,4.60075636088193e-10
"MZT2B",1.12387442904601,12.7860112420359,49.2566771200382,2.42464836666425e-10,6.87993974040981e-09
"FTH1",-0.864592490359067,14.3826062393635,48.7826961795511,2.79272244813069e-10,7.04386661917407e-09
"C4orf46",1.44184245275522,11.7479709867431,45.4199616086252,8.65670853297238e-10,1.96507283698473e-08
"HSPH1",-0.895134671413558,12.3428879258099,41.9559432909325,3.18143748360213e-09,6.56533007979712e-08
"PRMT8",1.10131744663228,12.5738945996908,40.5044386472992,5.48265219740251e-09,1.03713504067531e-07
"HSP90AA1",-0.810907128760253,13.1721696747374,37.5170831104471,1.64905130897829e-08,2.87949728567747e-07
"DBNDD2",-1.11869380178642,11.3751475212604,36.8565858261688,1.80847555333951e-08,2.93231393291478e-07
"ADAM15",0.836824423945037,13.6766329642888,36.2799860004406,2.62278904857505e-08,3.96915409351024e-07
"DOK6",1.0852029974155,11.8635153831233,35.5578408970508,3.36883794579016e-08,4.70209036643413e-07
"HSPA1B",-0.936054878862998,13.0753385375798,35.5220090281865,3.52138926120618e-08,4.70209036643413e-07
"DHRS1",0.802101289111981,14.2290211898494,35.1773845622349,3.98513309930879e-08,5.02569563079498e-07
"RPL21",0.98002300677709,12.5914649640701,35.0772901171885,4.20672781512622e-08,5.02593270544027e-07
"HSP90AB1",-0.765565613248159,12.6654536117967,34.0354036694628,6.22411143141539e-08,7.06436647465647e-07
"FOXD4L5",1.37718259818954,11.9249538441266,32.852053630829,9.69717957138322e-08,1.04821893462095e-06
"APLP1",-1.19899014009431,11.8812019188208,31.8584161752394,1.38740105246135e-07,1.4315456314033e-06
"HNRNPA1",0.912213247846166,12.1094120128673,30.5185101824746,2.48782801165577e-07,2.45537808106896e-06
"RPL32",-1.40891809326439,12.3623569543867,29.8558077838062,3.22012428076567e-07,3.0457008822242e-06
"CNP",-1.00593914231685,11.6251036690054,29.0501856236264,4.35133839003687e-07,3.95101525815348e-06
"HMGN2",0.980342751209893,11.943292204763,26.4623103539154,1.28167887331323e-06,1.11900424708501e-05
"RPL7A",0.61628603483273,12.6673354191509,26.3515024403067,1.34564555501993e-06,1.13133904070194e-05
"TUBA1C",-0.816585394065953,12.6964317972593,25.1630508710541,2.19143353157402e-06,1.77662647024037e-05
"TMEM30A",0.896758626577386,13.149003076164,25.0150165159718,2.33614733874705e-06,1.82863946860545e-05
"BCL2L2",0.80086957270383,12.6719819987768,24.5438215710006,2.8504950699105e-06,2.15687460289894e-05
"STMN1",-1.04170052281339,11.6344793301118,23.782954468529,3.80758772599843e-06,2.78813681871498e-05
"QKI",-0.825638124111745,12.1120684323179,23.3440066957488,4.65399487348217e-06,3.30142761337641e-05
"ATP1B1",-0.817236236264455,12.3515908548789,23.1867415488695,5.03603328043025e-06,3.46418046865959e-05
"RPS11",-0.862689766317475,11.8493322524316,20.751587893772,1.4247616403138e-05,9.51237918680096e-05
"RPSA",0.71508043659111,12.1145773233364,19.1776196125796,2.86488655926503e-05,0.000185808356843761
"PIP4K2A",-0.953487857275661,11.3032560397359,18.6607680839452,3.50044320555728e-05,0.000220722391017084
"RPL7",0.593568609678289,12.7093080218352,17.8665963806847,5.1274992032977e-05,0.000308225738086929
"HNRNPA2B1",-0.590204415617651,12.247063449462,17.8434354281722,5.15972601202788e-05,0.000308225738086929
"NUPR1",0.851046185745439,11.6470603022272,16.5482563633339,9.13866968873239e-05,0.000531917440856988
"SPP1",-1.18463786462152,12.2358857846388,16.2241953651804,0.000103644736070327,0.000588183877199107
"RPS26",0.668349857989966,11.9504739497851,15.8018009791545,0.000130465944968856,0.000722335841656838
"TPI1",0.862773309429354,11.6093419184992,15.249170655132,0.000163197732302398,0.000882044886491532
"CTSA",0.750697844967614,11.8409932428065,15.2376709341201,0.000168398916132558,0.000888989627025363
"RPS8",-0.541660218623467,12.1301684804988,14.5493228974942,0.000232175452400098,0.00119781426579142
"DPYSL2",-0.794845896586831,11.6079028586882,14.3677636227319,0.000249196318516063,0.00125685410453073
"PTMA",-0.57216107862988,12.2787730149605,14.3538830648421,0.000254692902239708,0.00125685410453073
"CALM2",-0.738707933873439,11.7910891578226,14.2033082470368,0.000270987738363216,0.00130881311932873
"EFHD1",-0.780466364154327,11.3803723791946,12.9894922841867,0.000481008004263421,0.00227476702016243
"MFSD6L",0.682115348023529,11.9353455633674,12.7544424163805,0.000538866542077411,0.00249638173574637
"DNAJB1",-0.459813503925452,12.8499534348377,12.3908884958144,0.000643037680533523,0.0029193910696222
"LAYN",0.591727598653689,11.8600554644961,11.618104283398,0.000931571426923423,0.00414640615512975
"NDRG1",-0.680214486771084,11.6032787332203,11.4434555898929,0.00101214188023634,0.00441838859257016
"ANKRD36B",0.673142271420842,11.9479667572823,11.0626500093338,0.00121963055510902,0.00522370067942918
"NPC2",0.567809829172236,12.2261470813349,10.507499787525,0.00160156074049946,0.00670491781098165
"DDX17",-0.502207082376886,12.0172704005231,10.451726897294,0.0016436168567351,0.00670491781098165
"ITM2B",-0.535207188838688,12.1554595439577,10.4369433355207,0.00165407664059459,0.00670491781098165
"RNPEP",0.558889400722103,11.9838924392958,10.4036402689172,0.00168477732454721,0.00670955180126695
"VIM",0.582362548822881,12.299783309387,10.1718530812553,0.0018866147817327,0.00738381992160902
"TMSB4X",-0.480733947314365,12.9515157439554,9.8999045531949,0.00215591626967593,0.00829479649519384
"DNAH3",0.606952728411732,11.7142819547077,9.85113181622312,0.00220652840587581,0.00834803246889681
"PTBP1",0.439040003202011,14.7464946855473,9.08017794736214,0.00324453661612625,0.0120642864289448
"RPS10",0.515866931124402,11.912933591255,9.02580413621347,0.00334076702510475,0.0120642864289448
"GFAP",0.415508523787972,14.0104701187601,9.01787424925365,0.00334823808380406,0.0120642864289448
"TSNAX",0.51933590722881,12.2534419312057,8.98007412905543,0.00341916673604211,0.0121273570168994
"APOE",0.483982966225902,12.8649441821214,8.79405676746776,0.00375161013081372,0.0129857317705796
"CST3",0.537801734382107,12.1384262569231,8.78081368293212,0.00377558721082933,0.0129857317705796
"HSPA8",-0.503812846387957,12.1185453780117,8.58679275252598,0.00416654833672841,0.0141165145139903
"PTGES3",-0.522825882131886,11.6936564778325,8.52696297325578,0.00428954326230153,0.0143195047138595
